City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rainfall in past hour (inches),Snowfall in past hour (inches)
375,Paita,PE,-5.09,-81.11,64.0,83,3,9.62,clear sky,0.0,0.0
376,Karratha,AU,-20.74,116.85,71.42,53,0,6.26,clear sky,0.0,0.0
377,Adolfo Lopez Mateos,MX,28.47,-107.3,58.32,36,0,3.18,clear sky,0.0,0.0
378,San Gabriel,US,34.1,-118.11,64.99,82,90,2.59,overcast clouds,0.0,0.0
379,Cotonou,BJ,6.37,2.42,82.4,78,40,8.05,scattered clouds,0.0,0.0
380,Imeni Poliny Osipenko,RU,52.42,136.49,51.62,84,11,3.85,few clouds,0.0,0.0
381,Baijiantan,CN,45.63,85.18,87.67,12,53,5.68,broken clouds,0.0,0.0
382,Xinpu,CN,34.6,119.16,72.81,95,98,5.86,overcast clouds,0.0,0.0
383,Tandalti,SD,13.02,31.87,101.75,20,75,3.76,broken clouds,0.0,0.0
384,Najran,SA,17.49,44.13,96.8,20,62,8.05,dust,0.0,0.0
385,Ahipara,NZ,-35.17,173.17,59.0,89,82,12.5,light rain,0.9,0.0
386,Kupino,RU,54.37,77.3,76.53,43,7,8.99,clear sky,0.0,0.0
387,Mabaruma,GY,8.2,-59.78,79.54,83,66,5.53,light rain,0.18,0.0
388,Tijara,IN,27.93,76.85,100.22,35,57,8.95,broken clouds,0.0,0.0
389,Camacha,PT,33.08,-16.33,69.8,77,75,18.34,broken clouds,0.0,0.0
390,Arraial Do Cabo,BR,-22.97,-42.03,68.0,88,75,5.82,broken clouds,0.0,0.0
391,Pacific Grove,US,36.62,-121.92,55.99,93,20,1.59,few clouds,0.0,0.0
392,Broken Hill,AU,-31.95,141.43,48.2,76,44,6.55,scattered clouds,0.0,0.0
393,Inirida,CO,3.87,-67.92,75.72,94,85,1.97,light rain,0.15,0.0
394,Vostok,RU,46.49,135.88,55.72,100,100,3.04,light rain,0.13,0.0
395,Puerto Madryn,AR,-42.77,-65.04,44.58,59,0,9.13,clear sky,0.0,0.0
396,Tecoanapa,MX,16.52,-98.75,79.3,74,36,5.23,scattered clouds,0.0,0.0
397,Llata,PE,-9.42,-76.78,43.66,74,58,3.51,broken clouds,0.0,0.0
398,Martinsville,US,36.69,-79.87,72.0,100,1,3.36,clear sky,0.0,0.0
399,Fort Nelson,CA,58.81,-122.7,47.8,63,52,2.46,broken clouds,0.0,0.0
400,Sakakah,SA,29.97,40.21,102.2,4,0,21.92,clear sky,0.0,0.0
401,Hailey,US,43.52,-114.32,53.6,71,1,6.93,clear sky,0.0,0.0
402,Alghero,IT,40.56,8.32,86.0,61,0,9.17,clear sky,0.0,0.0
403,Kiruna,SE,67.86,20.23,68.0,52,75,2.24,shower rain,0.0,0.0
404,Nelson Bay,AU,-32.72,152.15,51.01,76,2,14.99,clear sky,0.0,0.0
405,Boende,CD,-0.22,20.87,91.63,41,22,1.81,few clouds,0.0,0.0
406,Nalut,LY,30.33,10.85,88.36,21,0,8.9,clear sky,0.0,0.0
407,Ventspils,LV,57.39,21.56,77.0,61,98,9.17,overcast clouds,0.0,0.0
408,Puerto Del Rosario,ES,28.5,-13.86,77.0,65,40,20.8,scattered clouds,0.0,0.0
409,Stornoway,GB,58.21,-6.39,60.8,72,20,18.34,few clouds,0.0,0.0
410,Jiuquan,CN,39.74,98.52,86.2,12,99,27.11,overcast clouds,0.0,0.0
411,San Pedro,PH,14.35,121.02,87.8,74,75,2.24,thunderstorm with light rain,0.0,0.0
412,Key West,US,24.56,-81.78,84.2,79,20,6.93,few clouds,0.0,0.0
413,Lerwick,GB,60.15,-1.15,60.8,82,20,10.29,few clouds,0.0,0.0
414,Amazar,RU,53.86,120.88,59.29,78,55,4.25,light rain,0.13,0.0
415,Heerde,NL,52.39,6.04,79.0,47,0,1.99,clear sky,0.0,0.0
416,Charters Towers,AU,-20.1,146.27,57.52,54,0,7.87,clear sky,0.0,0.0
417,Puerto El Triunfo,SV,13.28,-88.55,77.0,94,50,1.12,scattered clouds,0.0,0.0
418,Grand-Bourg,GP,15.88,-61.31,82.4,74,20,6.93,few clouds,0.0,0.0
419,Veraval,IN,20.9,70.37,86.9,75,93,12.24,light rain,0.2,0.0
420,Abu Samrah,SY,35.3,37.18,93.43,14,0,17.63,clear sky,0.0,0.0
421,Lixourion,GR,38.2,20.43,75.2,73,40,10.29,scattered clouds,0.0,0.0
422,Cam Ranh,VN,11.92,109.16,89.6,75,20,8.05,few clouds,0.0,0.0
423,Dongsheng,CN,39.82,109.98,79.54,19,20,3.65,few clouds,0.0,0.0
424,Salzwedel,DE,52.85,11.15,78.01,41,0,8.01,clear sky,0.0,0.0
425,Tucurui,BR,-3.77,-49.67,79.05,67,26,3.53,scattered clouds,0.0,0.0
426,Knyaze-Volkonskoye,RU,48.46,135.46,57.2,71,100,8.95,overcast clouds,0.0,0.0
427,Kysyl-Syr,RU,63.9,122.76,69.55,52,1,3.0,clear sky,0.0,0.0
428,Dafeng,CN,23.45,108.59,83.61,82,100,8.39,overcast clouds,0.0,0.0
429,Sao Felix Do Xingu,BR,-6.64,-51.99,77.65,67,20,2.55,few clouds,0.0,0.0
430,Kortkeros,RU,61.81,51.58,62.6,42,75,6.71,broken clouds,0.0,0.0
431,Sibolga,ID,1.74,98.78,80.38,74,100,2.37,overcast clouds,0.0,0.0
432,Bang Saphan,TH,11.21,99.51,82.4,78,40,4.7,scattered clouds,0.0,0.0
433,Tual,ID,-5.67,132.75,80.47,82,35,19.57,light rain,0.21,0.0
434,Ibiuna,BR,-23.66,-47.22,69.01,63,78,3.36,broken clouds,0.0,0.0
435,Henties Bay,NA,-22.12,14.28,80.42,22,0,5.17,clear sky,0.0,0.0
436,Natchitoches,US,31.77,-93.13,68.0,100,1,2.8,clear sky,0.0,0.0
437,Suhut,TR,38.53,30.55,73.4,46,75,13.87,thunderstorm,0.0,0.0
438,Krasnystaw,PL,50.98,23.17,64.4,93,75,12.75,broken clouds,0.0,0.0
439,Aklavik,CA,68.22,-135.01,41.0,93,90,13.87,light rain,0.0,0.0
440,Tura,IN,25.52,90.22,80.29,90,41,5.48,light rain,0.72,0.0
