City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Tema,GH,2020-06-22 23:39:15,5.67,-0.02,77.0,94,64,5.82
144,Vestmanna,FO,2020-06-22 23:39:15,62.16,-7.17,50.0,93,100,14.99
145,Lazaro Cardenas,MX,2020-06-22 23:35:56,17.96,-102.2,84.9,71,79,7.94
146,Baykit,RU,2020-06-22 23:38:12,61.67,96.37,69.75,56,32,1.68
147,Kolpny,RU,2020-06-22 23:34:57,52.23,37.04,60.42,95,70,9.24
148,Vila Velha,BR,2020-06-22 23:36:31,-20.33,-40.29,70.0,94,0,4.7
149,Ratangarh,IN,2020-06-22 23:39:16,28.08,74.6,91.17,37,0,6.93
150,San Isidro,PE,2020-06-22 23:39:16,-12.12,-77.05,62.6,82,40,5.82
151,Andenes,NO,2020-06-22 23:36:20,69.31,16.12,53.6,81,14,3.0
152,Presidente Dutra,BR,2020-06-22 23:39:17,-5.29,-44.49,72.14,62,0,2.73
153,Thinadhoo,MV,2020-06-22 23:39:17,0.53,72.93,84.22,73,75,12.84
154,Yar-Sale,RU,2020-06-22 23:37:26,66.83,70.83,41.22,69,13,4.76
155,Sibolga,ID,2020-06-22 23:39:17,1.74,98.78,76.55,84,100,1.9
156,Lanja,IN,2020-06-22 23:39:18,16.85,73.55,75.79,90,95,3.91
157,San Carlos De Bariloche,AR,2020-06-22 23:38:32,-41.15,-71.31,37.4,95,75,12.75
158,Grindavik,IS,2020-06-22 23:36:35,63.84,-22.43,46.4,93,75,9.17
159,Dali,CN,2020-06-22 23:39:18,25.7,100.18,65.5,81,70,4.05
160,Los Llanos De Aridane,ES,2020-06-22 23:36:57,28.66,-17.92,71.6,68,90,16.11
161,Broome,US,2020-06-22 23:38:25,42.25,-75.83,81.0,54,1,5.82
162,Moree,AU,2020-06-22 23:39:19,-29.47,149.85,48.2,87,0,10.29
163,Galveston,US,2020-06-22 23:36:24,29.37,-94.97,84.0,74,1,16.11
164,Pipri,IN,2020-06-22 23:39:20,19.8,75.53,77.65,73,99,11.21
165,Kursk,RU,2020-06-22 23:39:20,51.73,36.19,62.46,94,51,7.09
166,Avarua,CK,2020-06-22 23:36:11,-21.21,-159.78,77.0,69,22,17.22
167,San Jeronimo,PE,2020-06-22 23:39:20,-11.95,-75.28,49.69,68,69,4.56
168,Tautira,PF,2020-06-22 23:39:21,-17.73,-149.15,82.4,58,40,8.05
169,Abu Kamal,SY,2020-06-22 23:39:21,34.45,40.92,79.05,30,0,14.18
170,Castro,BR,2020-06-22 23:36:14,-24.79,-50.01,58.06,87,28,4.21
171,Bara,NG,2020-06-22 23:37:57,10.37,10.73,76.51,77,19,13.78
172,Karratha,AU,2020-06-22 23:38:14,-20.74,116.85,69.64,36,0,6.58
173,Burla,IN,2020-06-22 23:39:22,21.5,83.87,77.25,84,84,3.76
174,Willmar,US,2020-06-22 23:39:22,45.12,-95.04,75.2,38,1,14.99
175,Tuatapere,NZ,2020-06-22 23:36:24,-46.13,167.68,39.0,83,65,3.0
176,Saint-Francois,FR,2020-06-22 23:39:22,46.42,3.91,57.2,71,5,1.5
177,Chicama,PE,2020-06-22 23:39:23,-7.84,-79.15,64.65,79,25,6.38
178,Izumo,JP,2020-06-22 23:34:32,35.37,132.77,71.6,83,20,2.24
179,Sosnovo-Ozerskoye,RU,2020-06-22 23:39:23,52.52,111.54,58.5,74,98,6.11
180,Lipnita,RO,2020-06-22 23:39:23,44.1,27.6,69.01,88,75,4.7
181,Tarko-Sale,RU,2020-06-22 23:39:23,64.92,77.78,48.99,91,61,9.95
182,Soto La Marina,MX,2020-06-22 23:39:24,23.77,-98.22,87.01,73,0,13.0
183,Dikson,RU,2020-06-22 23:36:17,73.51,80.55,48.04,76,94,15.79
184,Kutum,SD,2020-06-22 23:39:24,14.2,24.67,76.69,17,3,8.12
185,Nome,US,2020-06-22 23:36:20,64.5,-165.41,57.2,71,1,19.46
186,Akdepe,TM,2020-06-22 23:39:25,42.06,59.38,78.8,27,23,9.17
187,Dingle,PH,2020-06-22 23:37:42,11.0,122.67,83.66,75,97,2.93
188,Jiangyou,CN,2020-06-22 23:39:25,31.77,104.72,74.28,78,100,1.61
189,Esperance,AU,2020-06-22 23:37:14,-33.87,121.9,55.4,47,50,16.11
190,Hithadhoo,MV,2020-06-22 23:36:29,-0.6,73.08,84.33,71,23,9.84
191,Euclides Da Cunha,BR,2020-06-22 23:39:26,-10.51,-39.02,66.45,99,20,4.74
192,Borova,UA,2020-06-22 23:39:26,50.18,30.1,68.0,94,40,4.47
193,Hastings,GB,2020-06-22 23:39:27,50.86,0.57,55.99,92,0,1.99
194,Taltal,CL,2020-06-22 23:39:27,-25.4,-70.48,56.73,79,39,3.89
195,Saint George,US,2020-06-22 23:34:40,37.1,-113.58,104.0,9,1,11.41
196,Sinnamary,GF,2020-06-22 23:39:27,5.38,-52.95,77.83,88,79,9.28
197,Ekuvukeni,ZA,2020-06-22 23:39:28,-28.47,30.16,46.2,60,0,2.64
198,Winnemucca,US,2020-06-22 23:39:28,40.97,-117.74,88.0,16,0,8.01
199,Americus,US,2020-06-22 23:39:28,32.07,-84.23,77.0,83,75,3.36
200,Tweed,CA,2020-06-22 23:39:29,44.48,-77.32,82.99,54,75,6.93
201,Saldanha,ZA,2020-06-22 23:37:20,-33.01,17.94,46.4,93,19,2.24
202,Pevek,RU,2020-06-22 23:37:02,69.7,170.31,31.66,97,37,17.27
203,Kinablangan,PH,2020-06-22 23:39:29,7.69,126.55,83.5,73,21,1.21
204,Chokurdakh,RU,2020-06-22 23:37:32,70.63,147.92,63.39,33,13,12.19
205,Ambon,ID,2020-06-22 23:39:30,-3.7,128.18,78.8,88,40,4.7
